id,target
4941,7640603.896259172
51775,1162385.8852610018
115253,2303284.1256084167
299321,1130084.8680114676
173570,709036.739452604
30862,1523020.9700034459
244471,2752823.4998372886
127794,531913.6598356406
71558,2449911.8160860753
218011,954253.6775444781
148208,4293086.065124655
155735,515976.11592220736
100698,3192456.17034184
241403,1461638.588716922
195272,3680146.308359884
238663,1457599.3228266411
262957,6319624.337094517
207082,2431468.6148434407
298896,1231857.5852879137
220946,732396.3396635973
74581,1162816.1842321781
253578,6554779.374446349
47620,2242511.7849237025
92772,2336704.203589023
116904,3319265.3869718513
208352,4132573.574768431
76044,1158896.9379849045
202667,687191.013140099
62134,5439645.041983493
277353,4828127.022716038
64194,3809926.3658441645
295822,4842106.626133601
27391,2144229.1134982854
203500,1641798.406543758
264505,1122847.9384023899
297455,1395000.5053910427
137985,1830856.572712193
47622,3639589.852937235
21911,1213018.5235324656
94181,3063773.045531145
68117,1923628.7612703477
39648,851796.3381018176
73722,2811296.2882633996
133456,986120.2290759011
30763,8084986.168273834
58096,664071.3518595201
126979,2367775.276282021
149636,1694695.7170750415
27810,2461508.4079248346
272001,5580361.584656389
114617,4544040.832429024
190693,7921856.24862703
219814,1483782.6859319531
67164,3587188.9695431218
83961,3582532.926527398
254122,2814387.5302738114
141378,4928010.489910428
151754,964482.0650710027
125013,588670.6820346885
273552,1289906.0336121302
201853,1773150.939253253
99511,2768390.708342578
25140,8161682.157307097
7603,941786.7061798327
84095,5325925.283861503
84071,3354114.918349128
151177,1919954.8514217422
294081,1315761.8219914953
88694,1641483.9468224428
99932,880998.2568589227
14442,1016160.8827593393
162220,1955796.1320431377
163631,5284040.773268946
49023,1037484.1268522333
80644,6337878.728772411
274016,1553404.5627246152
64876,1068296.6014339647
156696,6556839.352865256
295991,2657316.9274334577
192037,3447556.832494875
118765,1327686.5264350353
94748,4131351.748238183
251764,4934443.783782001
60381,596890.625416157
283938,467789.27022950933
195995,295278.7308960788
112778,2271827.0420442205
76727,1782236.3761420478
21435,1847789.996471954
17468,3283294.9074882003
225673,5402152.417555104
79759,2565159.543359535
257599,1291691.4668586727
270720,3650705.844048768
153801,3706287.7888057763
92266,4329824.873680241
207329,6044359.896983639
243955,3419665.6081868107
288928,5141014.759846568
186600,3766880.7390893456
48005,919973.7777520937
212520,1761506.8509649422
294075,1089466.9420937155
131575,2465997.0780322584
202057,4143956.1386742066
239160,1004141.0335912458
92611,1363735.5022803426
268351,2207161.22771342
259109,1581491.9500018705
265328,1209949.5952162729
229144,1293304.3765349656
261302,2082816.533375296
84117,3218153.401676419
31189,5112275.227704184
107254,2575837.7879612525
