id,target
4941,1669763.438386862
51775,1280631.2303214548
115253,1732372.6738577897
299321,725664.6410141109
173570,503059.3261579322
30862,1544306.038914016
244471,1419075.225104564
127794,5872554.925891708
71558,809705.8348955768
218011,853575.6344616552
148208,759882.5352462012
155735,5898895.804643633
100698,1666713.6989254637
241403,1554406.103638291
195272,7091765.221349111
238663,1547702.0375448668
262957,2602455.104170965
207082,6400192.288816739
298896,1214295.7759317947
220946,1171315.9235827676
74581,790224.3737056511
253578,1573061.526836176
47620,1654090.835564092
92772,1730075.6764354315
116904,1649300.5931392657
208352,799644.1915716758
76044,821667.9912478743
202667,5431171.112827745
62134,1679058.9974194586
277353,787111.5834847374
64194,811759.5319941114
295822,1572476.6619448885
27391,1457467.87945337
203500,1462368.1673525476
264505,5789221.724236998
297455,1436821.3165500856
137985,3454422.0675079734
47622,1664822.999902596
21911,1309857.1286415942
94181,1536625.3191029523
68117,805477.9675401185
39648,787954.4141765572
73722,1696827.7681320913
133456,1266148.9660850214
30763,1553855.17434783
58096,1322042.430918904
126979,815470.596110346
149636,1572313.5009993988
27810,1790729.087185399
272001,1581550.5069638996
114617,1611230.0234523467
190693,1719884.1690153277
219814,1791866.7819851357
67164,774790.5919352312
83961,1608445.8707559889
254122,4704543.146262668
141378,5661975.452258997
151754,1230993.2556737668
125013,623221.0083084467
273552,799461.4910824953
201853,4579582.685049836
99511,4875108.902631051
25140,1536058.2335315116
7603,1285953.6830188239
84095,5980530.577569442
84071,837474.003270369
151177,772097.2060901814
294081,1587939.3686880674
88694,1422823.8150714845
99932,4892997.021900918
14442,5510258.802676861
162220,788256.7726025085
163631,799120.1851647965
49023,1483906.2693240927
80644,1513396.460884696
274016,4985574.294212034
64876,5070711.26330227
156696,1586742.0748811534
295991,1617672.1329228438
192037,840378.6053633513
118765,1491126.178867873
94748,4575496.989960249
251764,1625754.023230131
60381,608821.4277734339
283938,622453.2436620397
195995,1184333.9397187657
112778,1661332.6822107008
76727,703200.0415819376
21435,1575034.5151110063
17468,1725530.1227589736
225673,1781471.4079088685
79759,1795849.4316712178
257599,5781373.571038941
270720,1524255.3231136457
153801,5570160.839352323
92266,4891985.506559304
207329,801821.4805649895
243955,4780255.812247915
288928,1656930.6635049595
186600,1596761.9215454822
48005,6337466.377201737
212520,5203894.411644941
294075,1330298.6352041075
131575,5405544.695394865
202057,1522979.1586285718
239160,1349475.733493189
92611,904960.5261513294
268351,4766303.6744845575
259109,1641583.148852704
265328,1391550.8754998944
229144,1494240.9901022182
261302,1467582.4880685762
84117,1730502.3970678884
31189,1679896.2674147964
107254,796781.0590634306
192798,5336163.987806759
28083,718437.1786802264
118789,1681632.2843155058
2152,773534.6749536128
287026,1363464.7125366135
249169,1748132.3151688795
137539,4759374.838577353
46291,1156598.108608137
30233,835362.4047697312
175145,1210382.6149566588
50676,656098.0452522594
71570,6706134.0774067845
219843,5694570.254897781
36279,5481310.379057413
66052,1257930.535463471
252609,1421578.310636759
24783,720977.6198523784
299327,1609350.6702860477
95349,1697239.8065139975
46332,775579.1496210732
91240,5464111.43452092
5445,5403192.943387155
272876,1581595.637831449
43811,5181031.350552354
217082,1717987.9759662908
100370,756588.0774046727
258874,1240747.4355216261
121949,1158399.1231633134
212950,525743.6262999587
200057,1613434.0218474907
229177,1555062.6806544997
287838,1205977.3975100517
213118,1699143.0038065203
176475,1588729.7776527114
118176,639076.9001170746
209024,5909615.20393487
221906,815989.3145002517
42493,841133.2532538517
223728,5711946.934394587
141993,769460.3417910398
55675,1647827.435432132
224087,5706245.685403976
83655,558352.5385148085
61917,1608117.834440293
153665,1572376.042905404
155758,1573127.5082862312
190393,1677002.9482806877
231050,1171804.2507227021
201122,875074.984876291
59267,1196048.2515178963
262487,1652957.558529866
188582,1667306.6525633126
131814,4872690.452374929
73949,1661955.8919242637
154308,782133.2194027974
167194,6235208.318401577
277393,1676841.2354531272
196835,5392795.382197101
91690,1684527.763684039
162086,4921884.929963616
231058,1460170.264251333
54120,1523129.852737454
247858,1645746.1804523044
98092,742360.5690148363
271915,1620269.1184928063
44677,802047.600841656
56078,834626.0849945493
129375,1762469.8612342859
133361,1536006.751396752
85866,885582.5369777061
191559,5760449.947467295
218728,1450862.7180159197
208771,1632748.4358926853
109195,781447.3604987732
39549,2608698.7810475114
169828,1667608.5786178727
57416,1530756.6649808574
33193,665896.7371566365
173865,1615645.8792448742
50919,5383596.622563498
108504,847941.6471390714
72963,4627341.982597897
270712,5219478.559784315
63504,1432608.0285120197
26896,1492788.9575913472
261152,1446303.4195773224
8838,1228125.4937361572
16064,783379.5382927847
107661,816831.3607476187
130161,823474.8218011026
179573,4963277.304669027
116121,540043.622822021
32234,1175780.329610711
191736,1339507.2887290316
57456,6869496.884192262
160502,843917.9610899491
215795,5438862.009480451
126714,760810.9175130788
173047,1202648.6104438452
97726,1584006.767256535
193811,1286645.0654392422
17156,5888568.1433864655
71055,1459228.5110339746
193990,1204590.4670676014
52059,4586250.622561596
274757,769412.2149438122
1558,811100.3841249864
253081,1290404.7996338091
181909,1682990.3233513315
145269,5565625.404524544
186660,1799371.794885145
6479,1311143.4857429285
249414,1213661.7115838334
43182,5815753.207144065
248529,1659005.8130887717
125724,877443.7308669336
214268,842685.551044444
270767,843506.6344513183
141103,1584705.2441934764
292203,1670807.4625132473
62008,735554.96945654
89122,6933025.143945871
47736,650496.8790330229
222505,1579657.2239473076
29628,780450.954135175
202216,4366854.756339554
194828,6750705.708638422
18649,820667.4885789433
199020,1507565.9736435392
111554,1174779.9935896676
244687,5127414.162835542
230919,813149.8369539668
42397,6576268.921463411
221946,1656916.8721856684
168390,1230004.8551891453
175576,875381.5715411183
153541,732917.9216067528
74055,1822146.9182882737
233828,1523169.1329994241
131312,1252823.7292716438
224154,759180.7578709738
266743,1210294.9616569146
15594,1475955.3157059825
227419,742333.4365274636
115531,776635.6389714943
12282,1245961.2622143961
21847,1372086.1869051843
86772,1294321.5310362908
193139,1595384.552788739
100472,1724288.9436067403
177774,672775.5981360414
224462,1632392.2519440623
255020,862398.09189582
140852,4531650.616787694
6484,1515247.4235654327
97191,1725938.0424058344
218796,810321.0646304744
146934,501609.78213169373
183990,715477.3516842301
150347,763523.5254021367
291295,2694028.957637016
175531,1715130.921955559
80284,788176.4628097243
64297,1569704.2181193407
221587,1407572.2502678898
145984,1551771.6684447557
266813,1203268.2052683977
53725,822309.1226743697
171137,6383746.605202043
212764,665228.6199704834
30683,1290403.652865589
204086,5618658.06140555
78594,5919604.484624264
162787,837773.0383574867
212279,1407726.2594112419
33141,5969872.097727921
13870,1669398.7370082194
205831,4873520.662284081
285806,1603857.655200894
13820,1410888.216337101
198918,1268767.5652146002
165989,1667920.6909410618
81377,5693476.608813549
149867,1289605.4506728707
192119,1303458.710103687
180210,1150498.7576561652
147051,5517470.513533846
127638,820567.9609513817
291867,1719390.458130491
178582,1642659.3761934638
127544,826688.3947988803
235717,1634080.3493336223
171723,1364886.857466092
161574,1295041.263575685
75409,819658.812974162
90035,1418666.0913165275
42840,1249929.1167116046
8581,7507104.873812508
13664,1608423.7051832655
247464,809132.4509430904
96424,4952531.307793214
194898,1745839.6086647878
283532,1733512.5796096239
69531,1602467.293995871
237884,1561897.7341081994
261893,5495882.093992229
150376,1180266.4304154078
182443,1575860.465877194
