provincia,total,pbi_campo,pbi_minería,pbi_energia_agua_gas,pbi_construccion,pbi_industrias_manufactureras,pbi_comercio
Aguascalientes,163141,7457,2148,1216,19360,48215,24187
Baja California Norte,427586,13736,980,16781,51327,88097,69534
Baja California Sur,111739,3688,4305,3818,14863,2894,19922
Campeche,760971,3926,610993,918,60142,3179,14651
Coahuila,512261,12165,14599,10228,36441,208201,55364
Colima,86940,4147,794,4632,13439,6282,14083
Chiapas,274065,22660,23128,9201,28108,26392,45669
Chihuahua,417193,27701,21028,11155,27501,90085,63206
Distrito Federal,2472386,1181,431,13893,97818,201051,428486
Durango,183468,17100,8216,2404,19951,37224,25694
Guanajuato,585465,23633,3053,7802,49893,168843,94103
Guerrero,218105,11326,850,8335,24818,13048,36926
Hidalgo,252628,10856,2899,6232,19606,84371,33347
Jalisco,945499,53195,3773,15615,85304,187040,201434
Edo. de México,1390191,19304,2869,19258,103309,346779,264426
Michoacán,349184,39651,1128,6505,22714,53594,67263
Morelos,177753,5246,570,1008,15087,43145,29069
Nayarit,96787,8868,531,1468,12261,6364,16390
Nuevo León,1079862,6586,16277,21341,111792,273185,185838
Oaxaca,247130,14275,3905,5397,35985,41659,35032
Puebla,490213,22258,11233,8877,33518,119478,79938
Querétaro,305308,7666,2426,5378,37543,87523,51231
Quintana Roo,225671,1877,905,3625,18357,7551,38615
San luis Potosí,295233,9958,17030,9886,25970,80763,39611
Sinaloa,312674,36873,1081,7037,30257,32985,66778
Sonora,445599,30596,68162,9769,38161,89292,65043
Tabasco,525114,7248,318093,1661,30169,25688,37702
Tamaulipas,451088,17967,40490,12856,36067,81278,66441
Tlaxcala,84140,3758,18,1130,3687,24964,10395
Veracruz,817064,40391,67571,17153,84899,171582,112512
Yucatán,220000,8132,2203,5059,30099,36512,45036
Zacatecas,181901,12448,69880,1412,12651,14282,18395
