provincia,total,pbi_campo,pbi_minería,pbi_energia_agua_gas,pbi_construccion,pbi_industrias_manufactureras,pbi_comercio
Aguascalientes,256034,9353,979,1493,31520,79551,33713
Baja California Norte,630433,17674,697,19822,69390,172690,58664
Baja California Sur,154036,6334,6448,5201,29369,2417,13858
Campeche,409872,6607,274403,1409,36353,3183,10957
Coahuila,689837,16698,20288,11013,52310,286402,42378
Colima,114443,6189,1853,6354,14897,4979,12365
Chiapas,320473,23487,6646,7137,24922,28148,34269
Chihuahua,644228,43147,18315,13234,51531,198191,60971
Distrito Federal,3197348,1490,144,14621,136566,178423,318634
Durango,233932,23157,11959,5047,20118,35464,22381
Guanajuato,795297,29486,3828,12137,64511,227165,85383
Guerrero,270109,15211,9831,9534,23312,6973,25674
Hidalgo,296158,12183,3970,6675,32329,55644,23789
Jalisco,1344612,76106,3013,15621,105854,305314,171948
Edo. de México,1679645,25672,5974,21610,79450,328551,206508
Michoacán,462178,63102,2219,7216,25985,42465,57766
Morelos,217032,6427,1113,1334,22336,45433,16132
Nayarit,135186,9872,1670,3279,15509,7380,9594
Nuevo León,1381366,7862,12146,24365,145648,336245,126402
Oaxaca,286870,18151,4649,6876,32622,28181,24276
Puebla,633555,25920,5995,9583,48212,158941,50718
Querétaro,438433,10497,2315,5384,42125,125480,54495
Quintana Roo,302615,2263,2277,2445,29328,4613,19640
San luis Potosí,403449,16885,8959,11570,32534,107243,33544
Sinaloa,431635,51679,4633,8577,42558,34870,53503
Sonora,652593,39882,70695,14031,53827,173352,72701
Tabasco,442407,8801,174004,2588,31695,31699,29517
Tamaulipas,557763,20214,12167,18815,58649,128866,39186
Tlaxcala,110038,3671,453,1323,11137,24976,6323
Veracruz,885891,48334,27325,21857,79100,148343,94350
Yucatán,279511,10507,1172,6708,30842,4211,34377
Zacatecas,184248,17114,32927,1358,16843,19744,13135
