id,categoria
254099,2
53461,3
247984,1
209067,0
185997,1
126147,1
139233,1
5013,4
44962,0
134537,4
51180,0
103293,4
47890,1
130216,3
181436,4
201923,3
283945,2
73348,4
40421,0
87655,1
90071,0
224513,2
129818,1
146699,3
235958,3
97918,0
70294,0
177031,4
144635,2
146158,4
257302,0
118889,1
261416,3
162157,2
173573,4
294582,0
261703,3
1127,1
223547,1
127666,0
82384,0
212847,0
202245,3
224685,1
92610,1
274931,3
141129,0
282782,0
157857,1
142454,1
134758,1
116928,0
244353,2
198249,0
232207,0
237577,4
218245,4
241431,1
215118,0
60762,1
196970,4
286113,4
263775,3
61297,1
171944,3
32302,0
119008,0
190533,2
182136,1
16702,4
204516,4
84768,0
137214,3
60035,4
16952,3
167250,4
160587,0
9271,1
25824,4
197102,0
207641,2
200567,4
18684,1
267991,1
84676,0
231950,0
187330,2
166800,0
6907,2
10005,3
250047,1
249523,2
72712,4
58873,4
229855,3
257588,2
11713,0
195709,2
299439,2
273416,3
216134,2
10414,4
127848,1
120733,3
116312,1
270980,0
114276,0
227278,4
69827,1
183957,3
139467,1
126416,0
11840,3
203992,2
48369,0
110067,1
49646,1
33712,0
81195,2
158350,1
68608,0
258878,2
70673,1
277149,0
70366,1
86982,0
14801,0
68238,4
72658,4
188842,2
105483,1
33771,0
49616,0
18511,1
233065,0
252254,4
247425,3
14228,1
246928,2
99673,2
193815,1
160687,2
285383,1
187385,0
212041,2
164883,0
125412,0
197913,4
232596,3
250273,0
46540,3
37970,0
86207,0
223353,2
5810,0
45125,3
157324,4
83719,0
1416,1
246070,4
145820,3
58909,1
100792,2
33827,0
100861,3
95548,3
4822,3
93871,4
131687,2
213734,0
50692,1
204995,3
238932,4
155331,1
103163,3
203002,3
27205,0
104610,1
121262,0
242278,1
223652,1
929,0
295966,2
281684,1
98278,1
151087,4
253204,3
43705,0
193555,2
233662,2
134380,4
91825,2
123025,0
110004,1
241949,4
225438,4
284034,4
241937,4
1976,1
233685,4
1527,1
3221,2
136871,0
144952,0
4609,0
80025,4
128421,1
149879,4
79049,0
153519,2
130215,0
63068,3
231636,0
237547,0
100528,0
62730,0
42690,3
271681,1
143725,4
20830,4
142453,0
171544,1
232768,3
173679,3
199424,4
76493,0
165038,1
4378,3
270212,4
125465,3
208459,2
78770,0
109224,0
274403,2
184145,1
201327,0
200837,4
237183,0
100659,1
247939,3
74110,2
17677,2
67919,2
186814,1
62123,0
179128,4
217845,0
5972,4
116954,0
79960,1
291104,0
246193,0
12145,2
290286,1
212162,1
55466,0
94396,3
52920,2
143858,1
188686,0
100877,1
144159,3
16325,1
43801,1
149347,1
56475,0
110074,1
55172,0
157486,4
143295,0
5321,1
216322,2
212546,0
161570,1
123989,0
238337,3
182333,0
70715,3
250663,3
161342,1
251416,1
94337,2
109704,0
268772,4
111327,0
38143,1
39494,4
102124,4
250069,0
208268,3
166399,3
4501,1
165119,4
245705,1
233667,3
20280,3
59058,4
278941,4
59017,2
291049,0
69738,2
38340,4
202164,1
280453,3
260728,2
55846,1
4545,1
60426,1
279001,4
878,4
141799,1
131492,1
181444,2
208109,1
143187,1
155408,4
76237,1
23066,1
143050,4
299920,1
192103,3
257614,2
115183,1
225062,1
225958,1
227708,1
100517,1
81813,1
20370,3
41314,4
281879,1
133728,0
71493,3
59355,1
122483,2
115462,0
134803,4
193676,0
281680,4
170,1
194182,0
237931,2
195003,1
259305,0
147123,1
100205,2
298891,4
104553,3
283609,1
209071,1
205005,1
