idzona,lat_mean,lat_median,lat_std,lng_mean,lng_median,lng_std
22.0,19.23152453768826,19.2969536,0.24958347103957795,-99.16456397629803,-99.1420448003052,0.055865632532955574
23.0,21.884345267505584,21.88502285,0.006840739668422379,-102.29271780699563,-102.29196404999999,0.006177945478436815
26.0,21.893860534930635,21.8953385,0.005185729580027281,-102.32150145263029,-102.3220501,0.0014882742148637983
28.0,21.89467763702919,21.89467763702919,0.00615272989164423,-102.30468855291747,-102.30468855291747,0.015421508048864168
37.0,21.897806882142643,21.89783757262144,0.00012156836409635274,-102.3004156643631,-102.29986451114502,0.0018610715632870118
42.0,21.891440082022758,21.892599349999998,0.011050581461389807,-102.28215480707706,-102.286461385,0.014210667425741962
49.0,21.892778552997655,21.892778552997655,0.0016071872422810177,-102.32173669577026,-102.32173669577026,0.0010903526748241967
53.0,21.859695857770767,21.859695857770767,0.0011116315811807932,-102.28125559171143,-102.28125559171143,0.00024295016819833134
54.0,21.892582343258407,21.892582343258407,0.0011919603669946956,-102.29147451954344,-102.29147451954344,0.0017511930156912802
55.0,21.8927224442319,21.8927224442319,0.0024359039931882765,-102.29803666665651,-102.29803666665651,0.0028802816076618615
59.0,21.882355150000002,21.882355150000002,0.0005022579466766063,-102.31630435,-102.31630435,0.0009837976646609858
60.0,21.881617916724032,21.8821355,0.0040301621519123415,-102.31899571305085,-102.3203332,0.0035245086811969834
62.0,21.87883833524717,21.87923385,0.0016391729130083824,-102.31244557572515,-102.3111258,0.006049023149133707
66.0,21.9203161388135,21.9203161388135,0.015611024360390234,-102.32746014847,-102.32746014847,0.006609678473411012
67.0,21.916012760084563,21.916012760084563,0.006923312706553892,-102.32234716415405,-102.32234716415405,0.00804161869587858
75.0,21.927473005348386,21.927241524629586,0.0009263794252295251,-102.31301637865216,-102.31301307678223,0.0027085770257055854
79.0,21.935900109538444,21.935900109538444,0.00019704140283702837,-102.32339859008789,-102.32339859008789,0.00036414877113412445
82.0,21.94086758738692,21.94242853327117,0.003803225001082732,-102.30425862904778,-102.30259270901337,0.004435810201728981
83.0,21.90882822640694,21.8978649,0.036850139536461185,-102.29497786656493,-102.29550361633301,0.022773243740724144
85.0,21.9320965045651,21.93181375,0.002272102371851565,-102.31801388817948,-102.3183416,0.0022308844687456246
86.0,21.934547180232087,21.934547180232087,0.00037457147453255277,-102.32148172426605,-102.32148172426605,0.0027260305079601695
87.0,21.938822692648397,21.936223050926014,0.004781287851727992,-102.31368857785237,-102.31649041324465,0.006273659213835487
89.0,21.9292599930419,21.929424114545586,0.0005037749221032631,-102.31740252552186,-102.31713881560671,0.002602749697683364
92.0,21.920486619509628,21.921067382105946,0.0019341888383949113,-102.31117644717467,-102.31102387434386,0.0018912234131285637
93.0,21.91683575361058,21.919443372591893,0.007828536189243377,-102.30546664660676,-102.30573439299164,0.0008559670117125598
96.0,21.924844872028523,21.93095624405704,0.019612172718893293,-102.2746604192395,-102.27565137181398,0.005239734324066377
97.0,21.93484774602648,21.9352689,0.0019150226088391143,-102.27962998494466,-102.27910995483398,0.0015241557325358934
98.0,21.90998312051803,21.9176133272366,0.015311062899036403,-102.3057690787939,-102.30780894406102,0.007194764987039734
100.0,21.039500954000538,21.91098286200161,1.514190604478283,-101.2512505240871,-102.29750953333,1.8232793229382895
102.0,21.907874559903,21.9125327,0.01187115198119667,-102.3065734143334,-102.305901566665,0.003461883584964072
106.0,21.90757293333333,21.9072282,0.0029932259676366387,-102.3055541,-102.3052046,0.0014904076992316676
108.0,21.846148332666587,21.846148332666587,0.09368173506380695,-102.3636531829834,-102.3636531829834,0.10305410223095722
110.0,21.9057782858526,21.9057782858526,0.0002866410816472478,-102.2963024848877,-102.2963024848877,0.0005228561260278462
111.0,21.918018052776773,21.918166361275983,0.0014177111778012773,-102.30056424046529,-102.29988098144531,0.002066019033988705
112.0,21.903903465127758,21.913314545383283,0.016304880914691,-102.28687225486247,-102.29657329999999,0.019716849945302733
114.0,21.900361562717,21.90615634602848,0.017742791234356806,-102.28738061551017,-102.2885897545616,0.004277542888578148
115.0,21.85717885,21.85717885,0.006492442332819945,-102.26266655,-102.26266655,0.007951062201039645
122.0,21.913479147193943,21.912845908248826,0.0011483423455819575,-102.27783111551919,-102.27797004655758,0.0009153916525581382
135.0,21.902198,21.9018067,0.001641705543024708,-102.2539796,-102.2525975,0.0038608705922271004
145.0,21.918109160043414,21.918109160043414,0.00016099401054872677,-102.26509260688479,-102.26509260688479,0.00012825943356117346
150.0,21.890693381988832,21.89327567392184,0.006255269893258457,-102.27256572040947,-102.2683834,0.008663997244199723
163.0,21.524104654934717,21.8948766,0.9842071558051897,-101.89591485691179,-102.25696563720705,0.9597864649705766
166.0,21.85640748507506,21.85640748507506,2.006072553362268e-05,-102.31855948731021,-102.31855948731021,2.377673393061755e-05
167.0,21.86676895,21.86676895,0.0045114119746491555,-102.31452729999998,-102.31452729999998,0.004663369221928355
168.0,21.85273430302537,21.852181,0.0011587618845972053,-102.32342242509111,-102.3236048752733,0.001290807213242031
171.0,21.8591444602657,21.859510683333497,0.000806658761216091,-102.3362040498583,-102.3361319,0.0005393393787392558
172.0,21.858759500931598,21.8587829,0.001380278318865335,-102.33360044143092,-102.3323366,0.0028567847861938004
173.0,21.872335475810786,21.872335475810786,0.00047443444146555127,-102.3122970338379,-102.3122970338379,0.0009941442803287884
174.0,21.870114443516457,21.86666323919412,0.01006393160222559,-102.31326988906349,-102.31294676298216,0.0021761329443463493
180.0,21.863256069542853,21.86230327100157,0.010537179434350298,-102.34314231552733,-102.34781929999995,0.03092959282652396
185.0,21.866787725844866,21.867063921182133,0.0009683513798621938,-102.30104022456912,-102.30129394702094,0.0013289406102125494
187.0,21.869914177777662,21.8702764,0.0007097521736483637,-102.30564737777667,-102.3055896,0.0008647821407331539
188.0,21.873030756512797,21.873030756512797,0.015457151315183906,-102.29861908623047,-102.29861908623047,0.0037267161065005403
200.0,21.880268515851135,21.8767204,0.012207669054685072,-102.29293712571169,-102.29351700000001,0.003744305485653319
203.0,21.87270208355484,21.8725727,0.0013555635492649748,-102.28369791405844,-102.2843885421753,0.0016016638339095735
