provincia,total,restaurantes,cafeterias,discotecas y centros nocturnos,bares,otros
Aguascalientes,371,265,50,15,41,ND
Baja California Norte,525,361,46,35,68,15
Baja California Sur,413,328,23,27,35,ND
Campeche,809,607,59,34,109,0
Coahuila,ND,ND,ND,ND,ND,ND
Colima,358,303,6,6,43,ND
Chiapas,1577,1290,123,73,91,ND
Chihuahua,3347,2467,248,196,436,ND
Distrito Federal,1272,1074,105,13,64,16
Durango,810,640,44,32,82,12
Guanajuato,1789,825,115,78,229,542
Guerrero,763,609,35,53,66,ND
Hidalgo,767,598,54,22,93,0
Jalisco,4889,3546,344,127,546,326
Edo. de México,1789,1789,ND,ND,ND,ND
Michoacán,250,185,9,11,42,3
Morelos,733,609,23,20,81,0
Nayarit,871,314,50,20,31,456
Nuevo León,527,413,39,46,29,ND
Oaxaca,2014,1249,125,30,104,506
Puebla,1215,1059,68,18,66,4
Querétaro,1272,851,96,12,135,178
Quintana Roo,1537,1103,72,65,274,23
San luis Potosí,629,510,53,21,45,ND
Sinaloa,1480,1278,58,42,102,ND
Sonora,1116,853,63,61,139,ND
Tabasco,1159,838,65,24,94,138
Tamaulipas,749,537,43,6,19,144
Tlaxcala,302,207,54,6,35,ND
Veracruz,5158,4286,247,150,475,ND
Yucatán,605,540,32,13,12,8
Zacatecas,945,483,52,39,109,262
