provincia,total,pbi_campo,pbi_minería,pbi_energia_agua_gas,pbi_construccion,pbi_industrias_manufactureras,pbi_comercio
Aguascalientes,198310,8084,2264,1596,21302,70389,29433
Baja California Norte,453901,14760,1479,21307,43581,94822,74365
Baja California Sur,120005,4540,4203,5285,15088,3410,20637
Campeche,691075,4193,539292,1420,46211,3411,18424
Coahuila,554889,14888,14200,13669,27097,233980,60424
Colima,98095,4429,771,7258,11769,6279,17318
Chiapas,290984,19863,21120,12337,20736,22662,57953
Chihuahua,461766,32152,13749,14564,36753,100237,71670
Distrito Federal,2692092,1168,436,15356,92053,197862,463184
Durango,200139,20265,7958,5716,18555,37484,29594
Guanajuato,683879,23675,3416,11894,61253,210987,103355
Guerrero,246038,12451,622,11124,29749,14443,43568
Hidalgo,277965,10271,3506,7545,25051,80635,38809
Jalisco,1067106,67800,4160,19343,86394,213795,221038
Edo. de México,1520894,19492,2860,24477,106403,359281,294033
Michoacán,396808,43804,1206,8509,22598,59908,87089
Morelos,187376,5134,554,1346,14072,43405,32988
Nayarit,109485,7783,543,3324,12633,6382,20201
Nuevo León,1186648,7546,17341,25272,118011,294712,210261
Oaxaca,262919,14956,2806,6794,36752,41752,38748
Puebla,515584,22700,8889,11393,33775,116598,85062
Querétaro,355405,8557,2492,6695,44570,102792,63373
Quintana Roo,262825,1793,1386,3063,22344,8911,45895
San luis Potosí,313077,11891,11626,11084,30212,81001,44662
Sinaloa,341617,36406,1234,9120,29054,36916,78881
Sonora,478215,30619,60769,12952,39274,100253,75198
Tabasco,512409,7045,286883,2724,28322,23330,46973
Tamaulipas,495952,15804,45487,20973,38130,86674,73684
Tlaxcala,90637,3333,19,1341,3366,25345,13191
Veracruz,830480,39967,57057,21973,73231,152518,131876
Yucatán,248098,9337,2326,6625,29130,42604,53799
Zacatecas,166663,12537,47420,1709,11672,14784,20845
