provincia,total,restaurantes,cafeterias,discotecas y centros nocturnos,bares,otros
Aguascalientes,359,247,51,16,45,ND
Baja California Norte,525,361,46,35,68,15
Baja California Sur,388,314,20,25,29,ND
Campeche,807,613,59,34,101,ND
Coahuila,884,715,40,31,98,ND
Colima,364,302,5,8,49,ND
Chiapas,1573,1265,120,74,114,ND
Chihuahua,3053,2258,180,196,419,ND
Distrito Federal,1316,1116,108,13,67,12
Durango,770,590,44,32,82,22
Guanajuato,1918,952,119,130,275,442
Guerrero,763,609,35,53,66,ND
Hidalgo,700,560,37,20,83,ND
Jalisco,4915,3126,326,123,598,742
Edo. de México,1679,1679,ND,ND,ND,ND
Michoacán,245,183,9,11,42,ND
Morelos,733,609,23,20,81,0
Nayarit,869,312,50,20,31,456
Nuevo León,496,382,39,46,29,ND
Oaxaca,1959,1226,120,30,105,478
Puebla,1191,1036,67,18,70,ND
Querétaro,1226,829,92,16,116,173
Quintana Roo,1531,1095,72,65,276,23
San luis Potosí,602,496,41,21,44,ND
Sinaloa,1507,1243,54,81,129,ND
Sonora,1082,823,61,63,135,ND
Tabasco,1108,810,55,29,94,120
Tamaulipas,805,566,42,6,19,172
Tlaxcala,246,167,25,5,23,26
Veracruz,3954,3174,234,156,390,ND
Yucatán,592,526,33,13,12,8
Zacatecas,835,450,36,34,121,194
