provincia,total,restaurantes,cafeterias,discotecas y centros nocturnos,bares,otros
Aguascalientes,663,417,68,48,68,62
Baja California Norte,2795,1718,576,41,272,188
Baja California Sur,1252,775,215,21,154,87
Campeche,819,614,61,35,109,0
Coahuila,2822,2259,96,45,422,0
Colima,385,330,5,7,43,0
Chiapas,1604,1301,112,77,114,0
Chihuahua,ND,ND,ND,ND,ND,ND
"Distrito Federal	",1088,920,88,15,65,0
Durango,ND,ND,ND,ND,ND,ND
Guanajuato,1882,1204,159,53,163,303
Guerrero,934,699,34,45,138,18
Hidalgo,817,623,62,22,104,6
Jalisco,8405,5116,1688,78,869,654
Edo. de México,1931,1931,ND,ND,ND,ND
Michocán,224,173,8,10,33,0
Morelos,2331,1575,422,12,206,116
Nayarit,3968,2032,118,25,275,1518
Nuevo León,3716,2509,487,25,318,377
Oaxaca,2138,1302,157,36,119,524
Puebla,3769,2216,649,22,244,638
Querétaro,3435,2492,552,19,182,190
Quintana Roo,2392,1632,345,48,238,129
San luis Potosí,706,486,60,21,44,95
Sinaloa,2424,1619,355,29,211,210
Sonora,1326,972,116,74,164,0
Tabasco,1155,800,83,18,96,158
Tamaulipas,ND,ND,ND,ND,ND,ND
Tlaxcala,382,277,59,3,43,0
Veracruz,10395,5878,1537,107,2138,735
Yucatán,561,507,31,11,12,ND
Zacatecas,1260,955,74,26,182,23
