provincia,total,pbi_campo,pbi_minería,pbi_energia_agua_gas,pbi_construccion,pbi_industrias_manufactureras,pbi_comercio
Aguascalientes,217813,8171,943,1426,25916,68807,21875
Baja California Norte,574843,16868,626,19277,61767,158810,50085
Baja California Sur,141814,5348,5199,4800,30459,2287,12985
Campeche,435320,5408,297534,1202,40536,3286,11063
Coahuila,628068,16716,17701,11166,43813,258425,37239
Colima,101750,4751,2079,6465,13337,4564,8626
Chiapas,304685,21172,8849,7382,24968,27783,34016
Chihuahua,581705,40580,13198,12509,45092,178720,50464
Distrito Federal,2962749,994,120,13989,45092,172748,280309
Durango,211692,20872,9527,5100,16444,32864,19641
Guanajuato,727085,25895,3240,10121,58109,211797,73608
Guerrero,249169,12600,4448,8848,23808,6755,22387
Hidalgo,283383,10976,2875,6295,28802,65583,21024
Jalisco,1221603,69867,2605,14657,96269,283192,143550
Edo. de México,1553764,22549,4540,21392,67251,315384,167900
Michoacán,415290,46299,2428,6923,25689,40809,48878
Morelos,198732,5059,1058,1173,19856,39776,14278
Nayarit,123465,8100,1467,3235,13952,6659,8546
Nuevo León,1310799,7601,13648,23897,146443,327454,122416
Oaxaca,287604,15847,2920,6903,37541,39196,21442
Puebla,580912,24694,5827,8908,42036,139556,46972
Querétaro,398229,9777,2019,5724,38930,108738,51766
Quintana Roo,264809,2027,1621,2304,20081,4106,16616
San luis Potosí,364982,15462,7896,11663,29841,93564,29651
Sinaloa,385061,43893,3679,8325,36105,32149,44686
Sonora,580226,36115,51527,12063,43685,157193,61159
Tabasco,461473,7812,188320,2496,41573,32938,27444
Tamaulipas,539597,16426,13743,18617,54193,137164,36501
Tlaxcala,104432,3490,358,1292,11927,23274,5145
Veracruz,843727,44906,30191,20654,72232,148253,83309
Yucatán,250939,9361,1028,6161,27262,30712,31521
Zacatecas,167716,13596,31315,1352,13314,18746,12129
